2025-12-11 19:19:53,154 - INFO - Starting process: process_advances
2025-12-11 19:19:53,154 - INFO - Received advances process request
2025-12-11 19:30:38,742 - INFO - Saved combined Sales+Advances workbook to temp_uploads\791f93fc-88bc-41b1-8611-e50410f4e7ee_advances_sales_combined.xlsx
2025-12-11 19:31:53,560 - INFO - Post-processing 'Sales': rows 2-70206, cols 1-53
2025-12-11 19:31:53,590 - DEBUG - Column 1 ('AlternateStoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:03,170 - DEBUG - Column 2 ('RegionName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:32:03,596 - DEBUG - Column 3 ('StoreName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:32:04,016 - DEBUG - Column 4 ('StoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:13,723 - DEBUG - Column 5 ('BillDate'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 19:32:21,241 - DEBUG - Column 6 ('Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:30,593 - DEBUG - Column 7 ('Discount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:39,558 - DEBUG - Column 8 ('DiscountPercentage'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:47,199 - DEBUG - Column 9 ('BaseValue'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:32:56,943 - DEBUG - Column 10 ('SGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:06,404 - DEBUG - Column 11 ('CGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:15,947 - DEBUG - Column 12 ('IGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:23,333 - DEBUG - Column 13 ('UTGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:30,887 - DEBUG - Column 14 ('Tax'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:40,475 - DEBUG - Column 15 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:48,590 - DEBUG - Column 16 ('Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:33:56,826 - DEBUG - Column 17 ('CreditCardType'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:33:57,074 - DEBUG - Column 18 ('Coupon'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:04,440 - DEBUG - Column 19 ('Credit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:11,969 - DEBUG - Column 20 ('InsuranceCredit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:19,451 - DEBUG - Column 21 ('CashAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:27,000 - DEBUG - Column 22 ('CreditCardAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:34,866 - DEBUG - Column 23 ('AdvancedAmount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:42,302 - DEBUG - Column 24 ('GiftVoucher'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:49,693 - DEBUG - Column 25 ('CCNUsed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:34:57,189 - DEBUG - Column 26 ('CCNIssued'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:04,214 - DEBUG - Column 27 ('PointsAllocated'): date (date_frac=1.00, num_frac=1.00)
