2025-12-12 11:45:24,214 - INFO - Starting process: process_advances
2025-12-12 11:45:24,215 - INFO - Received advances process request
2025-12-12 11:47:21,583 - INFO - Saved combined Sales+Advances workbook to temp_uploads\e0fba85e-a3e6-416d-ada7-f9c38bda702b_advances_sales_combined.xlsx
2025-12-12 11:48:19,995 - INFO - Post-processing 'Sales': rows 2-67545, cols 1-53
2025-12-12 11:48:20,011 - DEBUG - Column 1 ('AlternateStoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:48:29,044 - DEBUG - Column 2 ('RegionName'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:48:29,418 - DEBUG - Column 3 ('StoreName'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:48:29,731 - DEBUG - Column 4 ('StoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:48:38,210 - DEBUG - Column 6 ('Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:48:47,907 - DEBUG - Column 7 ('Discount'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:48:56,088 - DEBUG - Column 8 ('DiscountPercentage'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:03,041 - DEBUG - Column 9 ('BaseValue'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:12,036 - DEBUG - Column 10 ('SGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:20,520 - DEBUG - Column 11 ('CGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:30,373 - DEBUG - Column 12 ('IGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:36,955 - DEBUG - Column 13 ('UTGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:43,345 - DEBUG - Column 14 ('Tax'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:50,991 - DEBUG - Column 15 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:49:57,425 - DEBUG - Column 16 ('Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:04,574 - DEBUG - Column 17 ('CreditCardType'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:50:04,813 - DEBUG - Column 18 ('Coupon'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:11,462 - DEBUG - Column 19 ('Credit'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:17,380 - DEBUG - Column 20 ('InsuranceCredit'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:23,295 - DEBUG - Column 21 ('CashAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:29,312 - DEBUG - Column 22 ('CreditCardAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:35,292 - DEBUG - Column 23 ('AdvancedAmount'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:41,968 - DEBUG - Column 24 ('GiftVoucher'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:47,948 - DEBUG - Column 25 ('CCNUsed'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:50:54,130 - DEBUG - Column 26 ('CCNIssued'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:01,327 - DEBUG - Column 27 ('PointsAllocated'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:09,142 - DEBUG - Column 28 ('PointsRedeemed'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:17,223 - DEBUG - Column 29 ('Cheque'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:24,617 - DEBUG - Column 30 ('PrepaidCard'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:32,670 - DEBUG - Column 31 ('OtherPayments'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:40,491 - DEBUG - Column 32 ('Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:51:49,823 - DEBUG - Column 33 ('MRPTOTAL'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:07,261 - DEBUG - Column 34 ('PinCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:16,169 - DEBUG - Column 35 ('WSDN'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:52:16,636 - DEBUG - Column 42 ('Online Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:25,087 - DEBUG - Column 43 ('Paytm'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:32,363 - DEBUG - Column 44 ('PayTM DQR'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:40,333 - DEBUG - Column 45 ('PayU Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:47,651 - DEBUG - Column 47 ('QC Wallet'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:52:56,165 - DEBUG - Column 49 ('Vouchagram'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,308 - INFO - Post-processing 'Advances': rows 2-482, cols 1-29
2025-12-12 11:53:04,332 - DEBUG - Column 1 ('Region'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:53:04,358 - DEBUG - Column 2 ('Store'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:53:04,383 - DEBUG - Column 3 ('Store Code'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:04,406 - DEBUG - Column 4 ('Order Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-12 11:53:04,467 - DEBUG - Column 5 ('Order Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:53:04,474 - DEBUG - Column 6 ('Last Bill Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-12 11:53:04,505 - DEBUG - Column 7 ('Bill Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:53:04,536 - DEBUG - Column 8 ('Customer Code'): numeric (date_frac=0.03, num_frac=1.00)
2025-12-12 11:53:04,572 - DEBUG - Column 9 ('Customer Name'): text (date_frac=0.00, num_frac=0.03)
2025-12-12 11:53:04,599 - DEBUG - Column 10 ('No Of Items'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:04,618 - DEBUG - Column 11 ('Total Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,679 - DEBUG - Column 12 ('Approximate Value'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,748 - DEBUG - Column 13 ('Advance Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,806 - DEBUG - Column 14 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,858 - DEBUG - Column 15 ('Credit Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-12 11:53:04,929 - DEBUG - Column 16 ('Coupon'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:04,958 - DEBUG - Column 17 ('Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:04,987 - DEBUG - Column 18 ('GV'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,017 - DEBUG - Column 19 ('CCN'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,048 - DEBUG - Column 20 ('Points'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,077 - DEBUG - Column 21 ('Cheque'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,106 - DEBUG - Column 22 ('Prepaid Card'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,135 - DEBUG - Column 23 ('Temp Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-12 11:53:05,170 - DEBUG - Column 26 ('OtherPayments'): numeric (date_frac=0.02, num_frac=1.00)
2025-12-12 11:53:05,201 - DEBUG - Column 28 ('Balance Amount'): numeric (date_frac=0.03, num_frac=1.00)
2025-12-12 11:53:05,233 - DEBUG - Column 29 ('Status'): text (date_frac=0.00, num_frac=0.00)
2025-12-12 11:53:55,806 - INFO - ✓ Post-processing complete: temp_uploads\e0fba85e-a3e6-416d-ada7-f9c38bda702b_advances_sales_combined.xlsx
