2025-12-11 18:08:46,863 - INFO - Starting process: process_advances
2025-12-11 18:08:46,865 - INFO - Received advances process request
2025-12-11 18:11:26,112 - INFO - Saved combined Sales+Advances workbook to temp_uploads\48223d5c-ee8c-423b-a237-4f547e8b0a9a_advances_sales_combined.xlsx
2025-12-11 18:12:29,384 - INFO - Post-processing 'Sales': rows 2-70206, cols 1-53
2025-12-11 18:12:29,398 - DEBUG - Column 1 ('AlternateStoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:12:39,254 - DEBUG - Column 2 ('RegionName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:12:39,643 - DEBUG - Column 3 ('StoreName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:12:39,998 - DEBUG - Column 4 ('StoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:12:49,708 - DEBUG - Column 5 ('BillDate'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 18:12:57,699 - DEBUG - Column 6 ('Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:07,470 - DEBUG - Column 7 ('Discount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:16,671 - DEBUG - Column 8 ('DiscountPercentage'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:24,340 - DEBUG - Column 9 ('BaseValue'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:33,930 - DEBUG - Column 10 ('SGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:43,925 - DEBUG - Column 11 ('CGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:13:56,550 - DEBUG - Column 12 ('IGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:07,792 - DEBUG - Column 13 ('UTGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:18,031 - DEBUG - Column 14 ('Tax'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:26,077 - DEBUG - Column 15 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:33,341 - DEBUG - Column 16 ('Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:40,444 - DEBUG - Column 17 ('CreditCardType'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:14:40,628 - DEBUG - Column 18 ('Coupon'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:46,992 - DEBUG - Column 19 ('Credit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:14:54,140 - DEBUG - Column 20 ('InsuranceCredit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:00,458 - DEBUG - Column 21 ('CashAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:06,965 - DEBUG - Column 22 ('CreditCardAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:13,567 - DEBUG - Column 23 ('AdvancedAmount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:21,786 - DEBUG - Column 24 ('GiftVoucher'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:27,953 - DEBUG - Column 25 ('CCNUsed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:34,376 - DEBUG - Column 26 ('CCNIssued'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:40,664 - DEBUG - Column 27 ('PointsAllocated'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:46,788 - DEBUG - Column 28 ('PointsRedeemed'): date (date_frac=1.00, num_frac=1.00)
