2025-12-11 17:45:31,765 - INFO - Starting process: process_advances
2025-12-11 17:45:31,766 - INFO - Received advances process request
2025-12-11 17:47:59,858 - INFO - Saved combined Sales+Advances workbook to temp_uploads\4bdc752b-12d0-4c2a-a4a5-f096f52703d8_advances_sales_combined.xlsx
2025-12-11 17:49:09,756 - INFO - Post-processing 'Sales': rows 2-70206, cols 1-53
2025-12-11 17:49:09,802 - DEBUG - Column 1 ('AlternateStoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:49:20,736 - DEBUG - Column 2 ('RegionName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:49:21,182 - DEBUG - Column 3 ('StoreName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:49:21,630 - DEBUG - Column 4 ('StoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:49:31,949 - DEBUG - Column 5 ('BillDate'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:49:41,306 - DEBUG - Column 6 ('Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:49:51,255 - DEBUG - Column 7 ('Discount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:01,014 - DEBUG - Column 8 ('DiscountPercentage'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:09,438 - DEBUG - Column 9 ('BaseValue'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:20,629 - DEBUG - Column 10 ('SGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:31,310 - DEBUG - Column 11 ('CGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:42,189 - DEBUG - Column 12 ('IGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:50,221 - DEBUG - Column 13 ('UTGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:50:58,287 - DEBUG - Column 14 ('Tax'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:09,149 - DEBUG - Column 15 ('Cash'): date (date_frac=1.00, num_frac=1.00)
