2025-12-11 17:23:22,925 - INFO - Starting process: process_advances
2025-12-11 17:23:22,926 - INFO - Received advances process request
2025-12-11 17:26:12,907 - INFO - Saved combined Sales+Advances workbook to temp_uploads\d8930657-5ad4-472f-ae88-87f18921ffa2_advances_sales_combined.xlsx
2025-12-11 17:27:25,849 - INFO - Post-processing 'Sales': rows 2-70206, cols 1-53
2025-12-11 17:27:25,907 - DEBUG - Column 1 ('AlternateStoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:27:36,009 - DEBUG - Column 2 ('RegionName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:27:36,412 - DEBUG - Column 3 ('StoreName'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:27:36,827 - DEBUG - Column 4 ('StoreCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:27:46,848 - DEBUG - Column 5 ('BillDate'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:27:54,745 - DEBUG - Column 6 ('Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:04,699 - DEBUG - Column 7 ('Discount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:14,802 - DEBUG - Column 8 ('DiscountPercentage'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:22,585 - DEBUG - Column 9 ('BaseValue'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:33,080 - DEBUG - Column 10 ('SGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:43,213 - DEBUG - Column 11 ('CGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:28:53,437 - DEBUG - Column 12 ('IGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:01,412 - DEBUG - Column 13 ('UTGST'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:09,474 - DEBUG - Column 14 ('Tax'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:19,795 - DEBUG - Column 15 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:28,819 - DEBUG - Column 16 ('Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:37,803 - DEBUG - Column 17 ('CreditCardType'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:29:38,031 - DEBUG - Column 18 ('Coupon'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:45,949 - DEBUG - Column 19 ('Credit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:29:53,835 - DEBUG - Column 20 ('InsuranceCredit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:01,732 - DEBUG - Column 21 ('CashAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:11,069 - DEBUG - Column 22 ('CreditCardAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:19,108 - DEBUG - Column 23 ('AdvancedAmount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:27,473 - DEBUG - Column 24 ('GiftVoucher'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:36,212 - DEBUG - Column 25 ('CCNUsed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:44,655 - DEBUG - Column 26 ('CCNIssued'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:30:52,923 - DEBUG - Column 27 ('PointsAllocated'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:00,942 - DEBUG - Column 28 ('PointsRedeemed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:09,298 - DEBUG - Column 29 ('Cheque'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:17,683 - DEBUG - Column 30 ('PrepaidCard'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:25,817 - DEBUG - Column 31 ('OtherPayments'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:34,881 - DEBUG - Column 32 ('Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:31:45,122 - DEBUG - Column 33 ('MRPTOTAL'): date (date_frac=1.00, num_frac=1.00)
